,trial,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
184,1,500,0.6,10,600,0.974,2.0511473675334937
185,1,500,0.6,10,650,0.984,2.0511473675334937
186,1,500,0.6,10,700,0.99,2.0511473675334937
187,1,500,0.6,10,750,0.984,2.0511473675334937
188,1,500,0.6,10,800,0.998,2.0511473675334937
189,1,500,0.6,10,850,0.998,2.0511473675334937
190,1,500,0.6,10,900,0.998,2.0511473675334937
191,1,500,0.6,10,950,0.996,2.0511473675334937
192,1,500,0.7,10,400,0.94,1.4419555408565312
193,1,500,0.7,10,450,0.9339999999999999,1.4419555408565312
194,1,500,0.7,10,500,0.972,1.4419555408565312
195,1,500,0.7,10,550,0.968,1.4419555408565312
196,1,500,0.7,10,600,0.986,1.4419555408565312
197,1,500,0.7,10,650,0.986,1.4419555408565312
198,1,500,0.7,10,700,0.996,1.4419555408565312
199,1,500,0.7,10,750,0.998,1.4419555408565312
200,1,500,0.7,10,800,1.0,1.4419555408565312
201,1,500,0.7,10,850,1.0,1.4419555408565312
202,1,500,0.7,10,900,1.0,1.4419555408565312
203,1,500,0.7,10,950,1.0,1.4419555408565312
204,1,500,0.8,10,400,0.9299999999999999,1.1484197978370947
205,1,500,0.8,10,450,0.962,1.1484197978370947
206,1,500,0.8,10,500,0.988,1.1484197978370947
207,1,500,0.8,10,550,0.988,1.1484197978370947
208,1,500,0.8,10,600,0.99,1.1484197978370947
209,1,500,0.8,10,650,0.998,1.1484197978370947
210,1,500,0.8,10,700,0.994,1.1484197978370947
211,1,500,0.8,10,750,1.0,1.1484197978370947
212,1,500,0.8,10,800,1.0,1.1484197978370947
213,1,500,0.8,10,850,1.0,1.1484197978370947
214,1,500,0.8,10,900,1.0,1.1484197978370947
215,1,500,0.8,10,950,1.0,1.1484197978370947
216,1,500,0.9,10,400,0.974,1.162106815624029
217,1,500,0.9,10,450,0.948,1.162106815624029
218,1,500,0.9,10,500,0.994,1.162106815624029
219,1,500,0.9,10,550,0.992,1.162106815624029
220,1,500,0.9,10,600,0.998,1.162106815624029
221,1,500,0.9,10,650,1.0,1.162106815624029
222,1,500,0.9,10,700,1.0,1.162106815624029
223,1,500,0.9,10,750,1.0,1.162106815624029
224,1,500,0.9,10,800,1.0,1.162106815624029
225,1,500,0.9,10,850,1.0,1.162106815624029
226,1,500,0.9,10,900,1.0,1.162106815624029
227,1,500,0.9,10,950,1.0,1.162106815624029
228,1,500,1.0,10,400,0.988,1.0266888501999116
229,1,500,1.0,10,450,0.996,1.0266888501999116
230,1,500,1.0,10,500,0.994,1.0266888501999116
231,1,500,1.0,10,550,0.998,1.0266888501999116
232,1,500,1.0,10,600,0.998,1.0266888501999116
233,1,500,1.0,10,650,1.0,1.0266888501999116
234,1,500,1.0,10,700,1.0,1.0266888501999116
235,1,500,1.0,10,750,1.0,1.0266888501999116
236,1,500,1.0,10,800,1.0,1.0266888501999116
237,1,500,1.0,10,850,1.0,1.0266888501999116
238,1,500,1.0,10,900,1.0,1.0266888501999116
239,1,500,1.0,10,950,1.0,1.0266888501999116
240,1,500,1.1,10,400,0.992,0.8354555555923775
241,1,500,1.1,10,450,0.996,0.8354555555923775
242,1,500,1.1,10,500,1.0,0.8354555555923775
