,n,epsilon,delta,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
55,500,0.7000000000000001,1,10,750,1.0,0.7317654065553046
56,500,0.7000000000000001,1,10,800,1.0,0.7317654065553046
57,500,0.7000000000000001,1,10,850,1.0,0.7317654065553046
58,500,0.7000000000000001,1,10,900,1.0,0.7317654065553046
59,500,0.7000000000000001,1,10,950,1.0,0.7317654065553046
60,500,0.8,1,10,400,0.916,0.6041940617621333
61,500,0.8,1,10,450,0.956,0.6041940617621333
62,500,0.8,1,10,500,0.974,0.6041940617621333
63,500,0.8,1,10,550,0.988,0.6041940617621333
64,500,0.8,1,10,600,0.99,0.6041940617621333
65,500,0.8,1,10,650,1.0,0.6041940617621333
66,500,0.8,1,10,700,1.0,0.6041940617621333
67,500,0.8,1,10,750,1.0,0.6041940617621333
68,500,0.8,1,10,800,1.0,0.6041940617621333
69,500,0.8,1,10,850,1.0,0.6041940617621333
70,500,0.8,1,10,900,1.0,0.6041940617621333
71,500,0.8,1,10,950,1.0,0.6041940617621333
72,500,0.9,1,10,400,0.94,0.4653382672549145
73,500,0.9,1,10,450,0.978,0.4653382672549145
74,500,0.9,1,10,500,0.976,0.4653382672549145
75,500,0.9,1,10,550,0.996,0.4653382672549145
76,500,0.9,1,10,600,1.0,0.4653382672549145
77,500,0.9,1,10,650,1.0,0.4653382672549145
78,500,0.9,1,10,700,1.0,0.4653382672549145
79,500,0.9,1,10,750,1.0,0.4653382672549145
80,500,0.9,1,10,800,1.0,0.4653382672549145
81,500,0.9,1,10,850,1.0,0.4653382672549145
82,500,0.9,1,10,900,1.0,0.4653382672549145
83,500,0.9,1,10,950,1.0,0.4653382672549145
84,500,1.0,1,10,400,0.96,0.3540630718703752
85,500,1.0,1,10,450,0.95,0.3540630718703752
86,500,1.0,1,10,500,0.986,0.3540630718703752
87,500,1.0,1,10,550,0.99,0.3540630718703752
88,500,1.0,1,10,600,0.998,0.3540630718703752
89,500,1.0,1,10,650,1.0,0.3540630718703752
90,500,1.0,1,10,700,1.0,0.3540630718703752
91,500,1.0,1,10,750,1.0,0.3540630718703752
92,500,1.0,1,10,800,1.0,0.3540630718703752
93,500,1.0,1,10,850,1.0,0.3540630718703752
94,500,1.0,1,10,900,1.0,0.3540630718703752
95,500,1.0,1,10,950,1.0,0.3540630718703752
96,500,1.1,1,10,400,0.9339999999999999,0.2833164055621225
97,500,1.1,1,10,450,0.974,0.2833164055621225
98,500,1.1,1,10,500,0.98,0.2833164055621225
99,500,1.1,1,10,550,0.998,0.2833164055621225
100,500,1.1,1,10,600,1.0,0.2833164055621225
101,500,1.1,1,10,650,1.0,0.2833164055621225
102,500,1.1,1,10,700,1.0,0.2833164055621225
103,500,1.1,1,10,750,1.0,0.2833164055621225
104,500,1.1,1,10,800,1.0,0.2833164055621225
105,500,1.1,1,10,850,1.0,0.2833164055621225
106,500,1.1,1,10,900,1.0,0.2833164055621225
107,500,1.1,1,10,950,1.0,0.2833164055621225
108,500,1.2000000000000002,1,10,400,0.966,0.23371806408798024
109,500,1.2000000000000002,1,10,450,0.964,0.23371806408798024
110,500,1.2000000000000002,1,10,500,0.98,0.23371806408798024
111,500,1.2000000000000002,1,10,550,0.998,0.23371806408798024
112,500,1.2000000000000002,1,10,600,1.0,0.23371806408798024
113,500,1.2000000000000002,1,10,650,1.0,0.23371806408798024
114,500,1.2000000000000002,1,10,700,1.0,0.23371806408798024
115,500,1.2000000000000002,1,10,750,1.0,0.23371806408798024
116,500,1.2000000000000002,1,10,800,1.0,0.23371806408798024
117,500,1.2000000000000002,1,10,850,1.0,0.23371806408798024
118,500,1.2000000000000002,1,10,900,1.0,0.23371806408798024
119,500,1.2000000000000002,1,10,950,1.0,0.23371806408798024
120,500,1.3,1,10,400,0.966,0.2204980463118173
121,500,1.3,1,10,450,0.976,0.2204980463118173
122,500,1.3,1,10,500,0.97,0.2204980463118173
123,500,1.3,1,10,550,0.994,0.2204980463118173
124,500,1.3,1,10,600,0.998,0.2204980463118173
125,500,1.3,1,10,650,1.0,0.2204980463118173
126,500,1.3,1,10,700,1.0,0.2204980463118173
127,500,1.3,1,10,750,1.0,0.2204980463118173
128,500,1.3,1,10,800,1.0,0.2204980463118173
129,500,1.3,1,10,850,1.0,0.2204980463118173
130,500,1.3,1,10,900,1.0,0.2204980463118173
131,500,1.3,1,10,950,1.0,0.2204980463118173
132,500,1.4000000000000001,1,10,400,0.964,0.1766081475734714
133,500,1.4000000000000001,1,10,450,0.966,0.1766081475734714
134,500,1.4000000000000001,1,10,500,0.988,0.1766081475734714
135,500,1.4000000000000001,1,10,550,0.996,0.1766081475734714
136,500,1.4000000000000001,1,10,600,1.0,0.1766081475734714
137,500,1.4000000000000001,1,10,650,1.0,0.1766081475734714
138,500,1.4000000000000001,1,10,700,1.0,0.1766081475734714
139,500,1.4000000000000001,1,10,750,1.0,0.1766081475734714
140,500,1.4000000000000001,1,10,800,1.0,0.1766081475734714
141,500,1.4000000000000001,1,10,850,1.0,0.1766081475734714
142,500,1.4000000000000001,1,10,900,1.0,0.1766081475734714
143,500,1.4000000000000001,1,10,950,1.0,0.1766081475734714
